material,d_mag,l_mag,circuit,t_steel,r_clear,gap,n_gon,r_face,wire_d,n_layers,v_cap,c_cap,pulse_mode,f_pulse,duty,n_pulses,fidelity,n_faces,a_face,bounding_cube,m_module,free_volume,coil_mass,turns_per_layer,n_turns,winding_build,J_attract,J_repel,margin_attract,margin_repel,F_attract,F_repel,asymmetry,margin,n_eff,R_coil,L_coil,i_peak,h_peak,h_need,switch_margin,switched,saturated,b_steel_peak,mmf,mmf_need,v_need,e_switch,e_drawn,pulse_program,pulse_saving,hold_ratio,pivot_ratio,E_barrier,W_drive,drv_mass,drv_price,drv_cap,drv_mosfet,drv_topology,feasible,scalar,violations
FeCrCo28,0.001,0.002814300331068248,potcore,0.0003,0.00012511675673076064,0.00019321969772920645,20,0.01030655380351414,0.00037479684383652967,2,230.98367042894586,0.0001205622553361106,train,40908.342546892876,0.7307429627427234,1,screen,54,0.0032647955116886155,0.02061310760702828,0.010564777475849916,1.0863986836528145e-06,6.502278823422048e-05,6,12,0.0007447962880719519,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.01021302796870475,1.536040739460883e-07,3521.093699634975,11416667.000818431,138000.0,82.72947102042342,True,True,15.731828563437215,42253.1243956197,510.738481395447,2.7920361097428383,0.025375650805586982,3.198709279448198,"1 pulses at 41 kHz, 73 % duty",0.0,0.0,0.0,nan,0.0,0.04283333333333334,260.2,elec 100u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
LNG52,0.0033704240233234954,0.002433797160415501,none,0.0003,0.0,0.00014814306529511398,8,0.010144667155954636,0.0003425954872158175,2,289.2640142258603,0.0001607472742485418,single,65864.76895459724,0.32151296323629663,12,screen,18,0.008404117443514608,0.020289334311909272,0.006940557094244309,1.732871708962827e-06,0.00012614764920141128,6,12,0.0006808057521952726,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.028380839826363524,2.6534257049754722e-09,3641.6548872287117,17955.42346646673,171000.0,0.10500247641208614,False,False,0.0,43699.85864674454,416179.3144310503,2754.830401243423,10979.330564416556,3.6742485719592874,single shot,0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,coil reaches only 18 kA/m of the 171 kA/m needed to switch; no driver for 2755 V [prescreen]
FerriteY35,0.001,0.0076729937639888855,none,0.0003,0.0,0.00037105419667681595,12,0.016257097368766057,0.00011979643833210143,12,148.61404720791305,1.8123864390968215e-05,train,77676.72395844625,0.7821062707845254,7,screen,30,0.00871215222246999,0.032514194737532115,0.07060681736073468,6.928312786434796e-06,0.0005454831614418124,59,708,0.0014283568935213118,0.41999999555940004,0.41999993811166625,0.07520160246711655,0.11118227717006443,0.015627686219051768,0.02665820144935154,0.5862243275767545,0.11118227717006443,0.06075072111773329,8.208775092104448,6.540426075400919e-05,14.72504185739912,1276162.0357070959,750000.0,1.7015493809427944,True,False,0.0,10425.329635038577,6126.96272691311,87.34042565697915,2.0738277013814836,0.10107406315034621,"7 pulses at 78 kHz, 78 % duty",0.0,0.02256207504285348,0.05000992296135545,0.0003972283214808603,1.986535775532636e-05,0.04782183155724158,137.8,elec 100u/160V,STD5N52U DPAK,multiplexed,False,0.0,hold 0.0 < 3.0; pivot 0.05 < 1.5; electronics do not fit
LNGT28,0.001,0.008708722234919697,potcore,0.0003,0.0001379545311553267,0.00033686935169174696,20,0.02143810433650254,0.0004416434530016285,13,73.65255252563787,0.00017744900389226432,single,24576.22327474963,0.16524209389081018,10,screen,54,0.0067909243139119375,0.04287620867300508,0.43098481357296686,0.0,0.006765211724446423,18,234,0.005704620153731436,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.5511462269999404,1.9235816228861482e-05,88.15334294160432,2097808.1021838738,177000.0,11.852023176180078,True,False,0.5921278267390295,20627.882248335412,1740.452405610618,6.214344287957778,0.18502395106778283,0.481303411593851,single shot,0.0,0.0,0.0,nan,0.0,0.022593333333333333,135.5,elec 100u/63V,IRLML6344 SOT-23,multiplexed,False,0.0,EPM wider than the face [prescreen]
LNGT28,0.001,0.005979916434521546,potcore,0.0003,2.606377429047494e-05,0.0003019682842280426,16,0.02202459354266529,0.000517784608250137,16,80.2610868056326,0.00014234804612833638,train,96996.47031111114,0.8709366982759768,4,screen,42,0.008761928084292563,0.04404918708533058,0.4278817981870753,0.0,0.008754670925472139,10,160,0.00823153258811738,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.37749909398894,1.2080780311974774e-05,114.496175582594,2502638.9240186797,177000.0,14.139202960557512,True,False,0.5148779963457084,18319.388093215042,1295.6450334802116,5.676493012337938,0.09632322622156038,0.18855473682985402,"4 pulses at 97 kHz, 87 % duty",0.0,0.0,0.0,nan,0.0,0.020673333333333335,106.7,elec 100u/63V,IRLML6344 SOT-23,multiplexed,False,0.0,EPM wider than the face [prescreen]
Sm2Co17-24,0.0024638589737730997,0.010113361189668216,none,0.0003,0.0,0.00037168101687183786,8,0.022315453795138777,0.0005134126647783605,8,204.89950654574653,5.756740313745613e-05,single,92685.00586975801,0.2693397940860084,11,screen,18,0.018486727224913273,0.04463090759027755,0.11482044174762265,1.880709451772587e-05,0.005492178858657692,18,144,0.004081014589790232,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.24499148755040487,1.1499998099090235e-05,297.75218148297284,3816150.128566606,4800000.0,0.7950312767847095,False,False,0.0,42876.31413354809,53930.34888759324,257.7250889731125,34.41379321423264,1.201227440324172,single shot,0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,coil reaches only 3816 kA/m of the 4800 kA/m needed to switch; no driver for 258 V [prescreen]
Sm2Co17-24,0.001,0.006928725663402694,potcore,0.0003,7.251072498354464e-05,0.00011250015736103018,12,0.021207805014296893,0.0002981280811084932,9,93.49851957002842,9.538195170349408e-05,single,14498.705931464285,0.6065279568292462,1,screen,30,0.011365228453635134,0.042415610028593786,0.06376767678362566,1.5724421529310088e-05,0.0013614619060522166,21,189,0.00266598055250459,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.5341541267643621,5.072635200275053e-06,127.24956340130215,3327323.6209862703,4800000.0,0.6931924210388063,False,False,0.5347128643841589,24050.167482846107,34694.79289286651,134.88104706902757,26.029110142471634,0.41645790730012433,single shot,0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,coil reaches only 3327 kA/m of the 4800 kA/m needed to switch; no driver for 135 V [prescreen]
FerriteBond,0.001,0.0112007080677021,none,0.0003,0.0,0.00016962815337903957,8,0.01846185617709431,0.00037183464483422777,14,298.9195332332158,5.706428946515223e-05,train,32310.361132798123,0.1585520579127728,3,screen,18,0.015294302430267928,0.03692371235418862,0.4318557514391056,4.613513001453463e-06,0.007131668098441493,27,378,0.0051723686435020426,0.22999863270439933,0.2299928895823283,0.029094505081999754,0.049186690139771075,0.010459109886109843,0.007869199439735682,1.3291199398627966,0.049186690139771075,0.0438737408632243,1.1562835559152,1.3843660916223049e-05,89.70940040536144,2894673.0757019576,720000.0,4.020379271808275,True,False,0.0,33910.153353226626,8434.565761248345,74.35107810084014,2.8391050613577606,0.21472199971841835,"3 pulses at 32 kHz, 16 % duty",0.0,0.0024688062635641263,0.0011063666694012138,0.006444202507113732,7.129650864742371e-06,0.2983333333333334,154.4,elec 100u/160V,IRFP260N TO-247,multiplexed,False,0.0,hold 0.0 < 3.0; pivot 0.00 < 1.5; electronics do not fit
Sm2Co17-30,0.001,0.006427835032226184,none,0.0003,0.0,0.0002095751370653121,20,0.0191662971309293,0.00039325916341276566,8,223.41261088746373,8.328606383339274e-05,train,54910.764502649145,0.3941596557520053,11,screen,54,0.006071286488352005,0.0383325942618586,0.09813956432567077,6.91640548765362e-06,0.001692814831731331,15,120,0.0031259384381353917,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.21936467063438742,2.148797571088293e-06,469.05795735444565,8182908.248656739,5970000.0,1.3706713984349645,True,False,0.0,56286.95488253348,41065.24360747736,162.9950191873535,59.74268931177285,1.9989855534868943,"11 pulses at 55 kHz, 39 % duty",0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,EPM wider than the face; no driver for 163 V [prescreen]
LNG60,0.001,0.0037680266943893267,none,0.0003,0.0,0.0003211324472233062,8,0.012540903823106096,0.0004955669740864026,12,187.1565645466518,0.00020227914296889752,single,83376.35834275556,0.5002851445894968,10,screen,18,0.010389224895894287,0.025081807646212192,0.057104575778764134,7.831681602141796e-07,0.003150872803062099,7,84,0.005908744145426996,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.16191760822946574,4.320093125225915e-06,575.559748688895,7497983.842313512,180000.0,41.65546579063062,True,False,0.0,48347.01888986718,1160.6404579142086,4.492965352670431,0.03675020393936548,3.542660328820114,single shot,0.0,0.0,0.0,nan,0.0,0.01983333333333333,49.3,elec 220u/63V,IRLML6344 SOT-23,multiplexed,False,0.0,EPM wider than the face [prescreen]
Vicalloy2,0.001,0.00464310589040591,none,0.0003,0.0,0.0003190701159682083,8,0.01140529592544535,0.000362814761581127,15,290.190968314326,9.117227900319782e-05,single,36837.6421681981,0.7775986965069838,2,screen,18,0.009448456510396127,0.0228105918508907,0.05591199293869113,0.0,0.0030766836665331284,11,165,0.005407391206605117,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.5503204918236498,1.4183447654535334e-05,321.4293453514656,7998629.858846857,114000.0,70.16341981444612,True,False,0.0,53035.84198299183,755.8902077927528,4.13592964940654,0.01403626652751895,3.838807212417486,single shot,0.0,0.0,0.0,nan,0.0,0.016833333333333332,49.099999999999994,elec 100u/63V,IRLML6344 SOT-23,multiplexed,False,0.0,EPM wider than the face [prescreen]
SmCo5-16,0.001,0.00281319970679854,none,0.0003,0.0,0.0003911424845088013,20,0.011005195881047494,0.0004126307422075533,13,166.02703419707692,7.122085326097477e-05,train,48675.65768418659,0.8527473501295214,9,screen,54,0.0034861035805631986,0.02201039176209499,0.10134875124819634,0.0,0.0018584900271896377,6,78,0.005329868770946525,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.19869481930822203,1.922766364130194e-06,442.9005811167183,10535353.664767113,3600000.0,2.9264871291019756,True,False,0.0,34546.24532710403,11804.680425061333,56.732535245430626,6.189211442958849,0.9815976623149804,"9 pulses at 49 kHz, 85 % duty",0.0,0.0,0.0,nan,0.0,0.35733333333333334,385.4,film 10u/250V,IRFB4110 TO-220,multiplexed,False,0.0,EPM wider than the face [prescreen]
NdFeB-bond,0.00809762884315345,0.009702771500921095,none,0.0003,0.0,0.00022633103256808535,8,0.020132893792061096,0.00010836141081768854,4,292.04755576512866,6.616066375753505e-05,train,90289.71917104024,0.4542311120563961,6,screen,18,0.016678635316977594,0.04026578758412219,0.07440103617196354,1.3833767797347842e-05,0.000726161801934435,82,328,0.0004306715911538214,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,16.323279993179888,0.0005657183040874504,7.463429707345308,172962.32494705683,2280000.0,0.07586066883642843,False,False,0.0,2448.004944009261,32269.751658631892,3849.7888331942427,8825.029787599302,0.039710449900145224,"6 pulses at 90 kHz, 45 % duty",0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,coil reaches only 173 kA/m of the 2280 kA/m needed to switch; no driver for 3850 V [prescreen]
FerriteY33,0.001,0.005618630354074368,none,0.0003,0.0,0.0002619891020294965,12,0.008269236554883408,0.0005030178537635617,12,121.55511997619755,0.0001684978253208238,train,5125.176770668736,0.45745036138756157,8,screen,30,0.004431470513805856,0.016538473109766815,0.1415728619878584,0.0,0.004697251732888829,10,120,0.0059975824739937,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.2273960249964148,2.520615351897692e-06,335.4893371425155,6611203.899065858,705000.0,9.377594183072139,True,False,0.0,40258.72045710187,4293.0755662016645,12.962292631048317,0.42466767308674447,1.2448322098159066,"8 pulses at 5 kHz, 46 % duty",0.0,0.0,0.0,nan,0.0,0.023033333333333333,148.5,elec 220u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
FeCrCo28,0.001,0.004398702211101333,none,0.0003,0.0,0.00026179780624713007,20,0.010041930983937113,0.000530633342393497,3,188.5105653723982,6.662363915279788e-05,single,94365.73521528789,0.30101406253686547,9,screen,54,0.0031809712373369993,0.020083861967874227,0.020631988223268973,1.9444169194625733e-07,0.0003374923245932896,7,21,0.001581711867006536,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.013193450485362239,2.5320528981556047e-07,1650.8945619351548,5042118.868218617,138000.0,36.53709324796099,True,False,0.0,34668.78580063825,948.8654602421883,5.159429736051001,0.04788456209779001,1.1831519336522291,single shot,0.0,0.0,0.0,nan,0.0,0.03683333333333334,259.7,elec 100u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
