NIB,,,,,,Alnico,,,,
space (mm),force exp 1 (N),force exp 2 (N),force exp 3 (N),force exp avg (N),,space (mm),force exp 1 (N),force exp 2 (N),force exp 3 (N),force exp avg (N)
2,12,12,12,12.00,,0,2.00,2.00,2.00,2.00
3,9,8.25,9.25,8.83,,0.05,1.50,1.60,1.75,1.62
4,7.25,7.25,7.25,7.25,,0.1,1.25,1.40,1.40,1.35
5,5.75,6,5.75,5.83,,0.15,1.25,1.25,1.10,1.20
6,4.25,4.5,4.5,4.42,,0.2,1.00,1.10,1.00,1.03
7,3.5,3.75,3.5,3.63,,0.25,0.90,0.90,0.90,0.90
8,3,3,3,3.00,,0.3,0.75,0.60,0.70,0.68
9,2.5,2.5,2.5,2.50,,0.35,0.50,0.50,0.50,0.50
10,2,2,2,2.00,,0.4,0.25,0.35,0.30,0.30
,,,,,,,,,,
err (N),,,,,,,,,,
0.25,,,,,,,,,,
